prefecture,district_number,district_name
北海道,1,北海道第1区
北海道,2,北海道第2区
北海道,3,北海道第3区
北海道,4,北海道第4区
北海道,5,北海道第5区
北海道,6,北海道第6区
北海道,7,北海道第7区
北海道,8,北海道第8区
北海道,9,北海道第9区
北海道,10,北海道第10区
北海道,11,北海道第11区
北海道,12,北海道第12区
青森県,1,青森県第1区
青森県,2,青森県第2区
青森県,3,青森県第3区
青森県,4,青森県第4区
岩手県,1,岩手県第1区
岩手県,2,岩手県第2区
岩手県,3,岩手県第3区
宮城県,1,宮城県第1区
宮城県,2,宮城県第2区
宮城県,3,宮城県第3区
宮城県,4,宮城県第4区
宮城県,5,宮城県第5区
宮城県,6,宮城県第6区
秋田県,1,秋田県第1区
秋田県,2,秋田県第2区
秋田県,3,秋田県第3区
山形県,1,山形県第1区
山形県,2,山形県第2区
山形県,3,山形県第3区
福島県,1,福島県第1区
福島県,2,福島県第2区
福島県,3,福島県第3区
福島県,4,福島県第4区
福島県,5,福島県第5区
茨城県,1,茨城県第1区
茨城県,2,茨城県第2区
茨城県,3,茨城県第3区
茨城県,4,茨城県第4区
茨城県,5,茨城県第5区
茨城県,6,茨城県第6区
茨城県,7,茨城県第7区
栃木県,1,栃木県第1区
栃木県,2,栃木県第2区
栃木県,3,栃木県第3区
栃木県,4,栃木県第4区
栃木県,5,栃木県第5区
群馬県,1,群馬県第1区
群馬県,2,群馬県第2区
群馬県,3,群馬県第3区
群馬県,4,群馬県第4区
群馬県,5,群馬県第5区
埼玉県,1,埼玉県第1区
埼玉県,2,埼玉県第2区
埼玉県,3,埼玉県第3区
埼玉県,4,埼玉県第4区
埼玉県,5,埼玉県第5区
埼玉県,6,埼玉県第6区
埼玉県,7,埼玉県第7区
埼玉県,8,埼玉県第8区
埼玉県,9,埼玉県第9区
埼玉県,10,埼玉県第10区
埼玉県,11,埼玉県第11区
埼玉県,12,埼玉県第12区
埼玉県,13,埼玉県第13区
埼玉県,14,埼玉県第14区
埼玉県,15,埼玉県第15区
千葉県,1,千葉県第1区
千葉県,2,千葉県第2区
千葉県,3,千葉県第3区
千葉県,4,千葉県第4区
千葉県,5,千葉県第5区
千葉県,6,千葉県第6区
千葉県,7,千葉県第7区
千葉県,8,千葉県第8区
千葉県,9,千葉県第9区
千葉県,10,千葉県第10区
千葉県,11,千葉県第11区
千葉県,12,千葉県第12区
千葉県,13,千葉県第13区
東京都,1,東京都第1区
東京都,2,東京都第2区
東京都,3,東京都第3区
東京都,4,東京都第4区
東京都,5,東京都第5区
東京都,6,東京都第6区
東京都,7,東京都第7区
東京都,8,東京都第8区
東京都,9,東京都第9区
東京都,10,東京都第10区
東京都,11,東京都第11区
東京都,12,東京都第12区
東京都,13,東京都第13区
東京都,14,東京都第14区
東京都,15,東京都第15区
東京都,16,東京都第16区
東京都,17,東京都第17区
東京都,18,東京都第18区
東京都,19,東京都第19区
東京都,20,東京都第20区
東京都,21,東京都第21区
東京都,22,東京都第22区
東京都,23,東京都第23区
東京都,24,東京都第24区
東京都,25,東京都第25区
東京都,26,東京都第26区
神奈川県,1,神奈川県第1区
神奈川県,2,神奈川県第2区
